decile,min_score,max_score,avg_score,bad_rate,total_volume,total_bads,cum_bad_pct,volume_pct
1,0.02207770834781343,0.06694588369864816,0.053843736119852235,0.05428566927645363,126958,6892,2.6180735203060244,10.002883674463092
2,0.06694654754646387,0.08896398969251267,0.07793225867613354,0.07578706804838646,126895,9617,6.271296538991897,9.997919972518424
3,0.08896485105808938,0.11351888444381698,0.10091661323808605,0.0990805738731712,126927,12576,11.048558957936843,10.000441217950637
4,0.11351995393007047,0.14270200802093855,0.1277264846069874,0.12294991571219259,126946,15608,16.977591387556174,10.001938207426013
5,0.1427033081886002,0.17746876765216155,0.159635106027032,0.1572919538419125,126955,19969,24.563242885958815,10.002647307703823
6,0.1774703190087688,0.2176767746119951,0.19707577024323136,0.19637607484296063,126879,24916,34.02811807921838,9.996659349802318
7,0.21767858443223348,0.2642739560998114,0.24036630974557552,0.23760706659207137,126907,30154,45.48275953762056,9.998865439555505
8,0.26427602246655607,0.3194049277849414,0.29086491075705906,0.29204488149268787,126912,37064,59.56231220108871,9.999259384154287
9,0.31940723807796123,0.39379644754509646,0.353969182851968,0.35999905450018516,126917,45690,76.91863535007046,9.999653328753071
10,0.3937985494413068,0.9921367040754974,0.4718622330681038,0.4787421799902299,126918,60761,100.0,9.999732117672828
