,SCORE_02,FLAG_var_17,SCORE_01,var_17_None,var_15_None,var_73,var_93,FLAG_var_15,flag_mig2_FLEX,var_05_None,flag_mig2_Aquisição,var_17_202311,flag_mig2_PRE,REGIAO_GEO_OUTROS,var_09_9,var_35,var_05_1
SCORE_02,1.0,-0.2377682986982304,0.6532022589750832,0.23776829869823018,0.23776829869823018,-0.2797854185943269,0.11950368025522079,-0.2377682986982304,0.008131728960694301,-0.11729152515684069,0.2299081149144503,-0.22207307440676208,-0.23058248525330566,-0.08927521341377417,-0.21309714414773212,0.3701443564624076,-0.23987930005329744
FLAG_var_17,-0.2377682986982304,1.0,-0.16818851294479512,-1.0000000000000004,-1.0000000000000004,0.05007193922876501,0.06991991323019554,1.0,-0.005186165558166436,-0.05664815579576823,-0.13029763026459318,0.8823714821874667,0.13072720238724694,-0.04779534856983802,0.38380457895984066,-0.05544093623303103,0.23357645356223178
SCORE_01,0.6532022589750832,-0.16818851294479512,1.0,0.16818851294479512,0.16818851294479512,-0.0863089001961263,0.16382201706728247,-0.16818851294479512,0.005485800747819317,-0.12463499594666566,0.08506822274215924,-0.15773471212983012,-0.085520991534711,-0.1451736045694431,-0.16094700754995855,0.3762602356446549,-0.20152199187324454
var_17_None,0.23776829869823018,-1.0000000000000004,0.16818851294479512,1.0,1.0,-0.05007193922876494,-0.06991991323019571,-1.0000000000000004,0.005186165558166403,0.05664815579576834,0.1302976302645928,-0.8823714821874672,-0.1307272023872463,0.04779534856983784,-0.3838045789598416,0.05544093623303139,-0.23357645356223156
var_15_None,0.23776829869823018,-1.0000000000000004,0.16818851294479512,1.0,1.0,-0.05007193922876494,-0.06991991323019571,-1.0000000000000004,0.005186165558166403,0.05664815579576834,0.1302976302645928,-0.8823714821874672,-0.1307272023872463,0.04779534856983784,-0.3838045789598416,0.05544093623303139,-0.23357645356223156
var_73,-0.2797854185943269,0.05007193922876501,-0.0863089001961263,-0.05007193922876494,-0.05007193922876494,1.0,-0.024204654396451215,0.05007193922876502,-0.002227154407023731,0.017265400427839663,-0.04009276857477898,0.04672698547610998,0.0401536143003658,0.031119510503116288,0.04597726592690797,0.03679766739863542,0.08288956270991421
var_93,0.11950368025522079,0.06991991323019554,0.16382201706728247,-0.06991991323019571,-0.06991991323019571,-0.024204654396451215,1.0,0.06991991323019556,-0.000450584295645806,-0.10230995904139448,0.009539828594328448,0.059290181607579893,-0.00948770381658657,-0.1206500407290351,0.012659086020569336,0.0824331551962493,-0.01680065092893816
FLAG_var_15,-0.2377682986982304,1.0,-0.16818851294479512,-1.0000000000000004,-1.0000000000000004,0.05007193922876502,0.06991991323019556,1.0,-0.005186165558166436,-0.05664815579576823,-0.13029763026459318,0.8823714821874667,0.13072720238724694,-0.04779534856983802,0.38380457895984066,-0.05544093623303103,0.23357645356223178
flag_mig2_FLEX,0.008131728960694301,-0.005186165558166436,0.005485800747819317,0.005186165558166403,0.005186165558166403,-0.002227154407023731,-0.000450584295645806,-0.005186165558166436,1.0,0.003524360642919892,-0.041400910301912,-0.004866895430039245,-0.040524409522528025,0.0035609896443984297,-0.0016257840243310247,0.003084264180337621,0.000301760806953705
var_05_None,-0.11729152515684069,-0.05664815579576823,-0.12463499594666566,0.05664815579576834,0.05664815579576834,0.017265400427839663,-0.10230995904139448,-0.05664815579576823,0.003524360642919892,1.0,-0.03374551489707808,-0.048730238154891005,0.033457988927328985,0.48682817031873676,-0.05735484998277252,0.005818950292792168,-0.15032435366535954
flag_mig2_Aquisição,0.2299081149144503,-0.13029763026459318,0.08506822274215924,0.1302976302645928,0.1302976302645928,-0.04009276857477898,0.009539828594328448,-0.13029763026459318,-0.041400910301912,-0.03374551489707808,1.0,-0.12269401514846719,-0.9966441203402621,-0.015869351770806037,-0.11322134873673975,0.014764652903086003,-0.1398357042655673
var_17_202311,-0.22207307440676208,0.8823714821874667,-0.15773471212983012,-0.8823714821874672,-0.8823714821874672,0.04672698547610998,0.059290181607579893,0.8823714821874667,-0.004866895430039245,-0.048730238154891005,-0.12269401514846719,1.0,0.12309715702586234,-0.037955971012044946,0.3486390302686816,-0.05240338203531084,0.2166990798124799
flag_mig2_PRE,-0.23058248525330566,0.13072720238724694,-0.085520991534711,-0.1307272023872463,-0.1307272023872463,0.0401536143003658,-0.00948770381658657,0.13072720238724694,-0.040524409522528025,0.033457988927328985,-0.9966441203402621,0.12309715702586234,1.0,0.01557818199117467,0.1133586160171157,-0.014940884011349093,0.1398160111291383
REGIAO_GEO_OUTROS,-0.08927521341377417,-0.04779534856983802,-0.1451736045694431,0.04779534856983784,0.04779534856983784,0.031119510503116288,-0.1206500407290351,-0.04779534856983802,0.0035609896443984297,0.48682817031873676,-0.015869351770806037,-0.037955971012044946,0.01557818199117467,1.0,-0.0769284457493672,0.025785205730354956,0.06972549908979049
var_09_9,-0.21309714414773212,0.38380457895984066,-0.16094700754995855,-0.3838045789598416,-0.3838045789598416,0.04597726592690797,0.012659086020569336,0.38380457895984066,-0.0016257840243310247,-0.05735484998277252,-0.11322134873673975,0.3486390302686816,0.1133586160171157,-0.0769284457493672,1.0,-0.10218123071871497,0.2318137794139192
var_35,0.3701443564624076,-0.05544093623303103,0.3762602356446549,0.05544093623303139,0.05544093623303139,0.03679766739863542,0.0824331551962493,-0.05544093623303103,0.003084264180337621,0.005818950292792168,0.014764652903086003,-0.05240338203531084,-0.014940884011349093,0.025785205730354956,-0.10218123071871497,1.0,-0.04595964969576321
var_05_1,-0.23987930005329744,0.23357645356223178,-0.20152199187324454,-0.23357645356223156,-0.23357645356223156,0.08288956270991421,-0.01680065092893816,0.23357645356223178,0.000301760806953705,-0.15032435366535954,-0.1398357042655673,0.2166990798124799,0.1398160111291383,0.06972549908979049,0.2318137794139192,-0.04595964969576321,1.0
