feature,gain,weight,cover,gain_norm,weight_norm,cover_norm,importance_score
SCORE_02,895.2404174804688,147.0,22152.060546875,31.815566505470684,9.832775919732443,5.694824427469544,15.781055617557556
SCORE_01,347.745361328125,88.0,12385.9375,12.358373744386117,5.88628762541806,3.184161549344518,7.142940973049565
vlr_total_real,88.76476287841797,138.0,15618.6181640625,3.1545729633707635,9.230769230769232,4.015215110838535,5.466852434992844
sum_vlr_recarga_u3m,64.39280700683594,96.0,11006.8681640625,2.2884284420107996,6.421404682274247,2.8296321038849173,3.8464884093899876
qtd_meses_uso_recarga_adicional_controle_u9m,92.53015899658203,47.0,18557.275390625,3.288389766407925,3.1438127090301005,4.770681489344298,3.734294654927441
sum_vlr_total_real_u3m,80.19461822509766,64.0,11625.267578125,2.850002256044354,4.280936454849498,2.9886094632002695,3.3731827246980406
qtd_rec_sos_u12m,89.7648696899414,48.0,13836.9501953125,3.190115331826545,3.2107023411371234,3.557186104976646,3.3193345926467717
var_09_9,26.310848236083984,9.0,30696.677734375,0.9350499882772983,0.6020066889632106,7.891464084524635,3.142840253921715
var_93,67.28260803222656,53.0,12828.2294921875,2.391127845339402,3.545150501672241,3.2978654296609187,3.0780479255575206
vlr_medio_bonus,42.266761779785156,63.0,9138.982421875,1.5021003789800171,4.214046822742475,2.349438339073632,2.6885285135987083
sum_qtd_rec_sos_u9m,30.011337280273438,28.0,19562.169921875,1.0665600865585163,1.8729096989966554,5.02901853710938,2.6561627742215173
vlr_medio_real,69.56861114501953,43.0,9713.0224609375,2.4723691327596766,2.8762541806020065,2.4970118449279153,2.615211719429866
flag_mig2_Aquisição,56.755218505859375,42.0,11716.6904296875,2.0169994491396874,2.8093645484949836,3.0121123372198375,2.6128254449515027
std_pct_rec_com_bonus_u12m,39.86866760253906,62.0,8282.138671875,1.416875535136079,4.147157190635451,2.129162003709743,2.5643982431604244
FLAG_var_17,23.397987365722656,8.0,24039.029296875,0.8315310709757502,0.5351170568561873,6.179924028413331,2.5155240520817563
sum_vlr_total_real_u6m,73.39413452148438,29.0,11137.6025390625,2.6083227727267926,1.939799331103679,2.8632411359063195,2.470454413245597
sum_vlr_recarga_u6m,61.699344635009766,45.0,6356.47021484375,2.1927066341616945,3.0100334448160537,1.634113529771901,2.27895120291655
qtd_canais_distintos_u12m,58.084293365478516,12.0,15357.6484375,2.0642328724316874,0.8026755852842808,3.9481253351260985,2.2716779309473556
mean_gap_medio_recarga_u1m,23.324174880981445,55.0,8361.6162109375,0.828907880633398,3.678929765886288,2.1495939915119857,2.2191438793438905
sum_vlr_total_real_u12m,29.318326950073242,45.0,9997.4404296875,1.0419314886769384,3.0100334448160537,2.5701296658467125,2.2073648664465684
