feature,coef,std_err,z_score,p_value,ci_lower,ci_upper,odds_ratio
const,-1.482840092538576,0.007989555706480337,-185.59731567249014,0.0,-1.498499333975754,-1.4671808511013982,0.22699209349210667
var_09_9,0.044835277599027404,0.010521610147410569,4.2612563068649365,2.0328093490136577e-05,0.02421330065073152,0.06545725454732329,1.0458555698785519
flag_mig2_Aquisição,0.2071516990040902,0.00989059527628937,20.944310551326772,2.1143693654271327e-97,0.18776648847690106,0.22653690953127933,1.230169173065197
FLAG_var_17,0.08508615390742458,0.012770479356019646,6.662722011865385,2.6880181335007628e-11,0.06005647430431381,0.11011583351053535,1.0888108679683894
var_05_1,0.02694823510600184,0.009055717150493381,2.97582562023082,0.0029220096130340967,0.009199355636853129,0.04469711457515055,1.027314622554528
SCORE_02_woe,-0.8021145126061435,0.007912957129432161,-101.36722586587598,0.0,-0.81762362359104,-0.786605401621247,0.4483798561622927
SCORE_01_woe,-0.23186554656491098,0.009474505472814074,-24.472575083757206,2.894346657212302e-132,-0.2504352360629542,-0.21329585706686777,0.7930527448044555
vlr_total_real_woe,-0.5203248074767399,0.03195525704765071,-16.28291728966058,1.3049674488725046e-59,-0.582955960406855,-0.4576936545466248,0.5943274746086712
sum_vlr_recarga_u3m_woe,-0.9261922294963021,0.057864407729362,-16.00625092074219,1.1556691476776979e-57,-1.0396043846325926,-0.8127800743600114,0.3960589443260922
qtd_meses_uso_recarga_adicional_controle_u9m_woe,-0.44416141520912156,0.024745107803888392,-17.949463737609054,4.845598512475687e-72,-0.49266093529830385,-0.39566189511993927,0.6413618869084722
sum_vlr_total_real_u3m_woe,-0.18910913208279756,0.02570183943025426,-7.357805366264666,1.8695836782737127e-13,-0.23948381170252736,-0.13873445246306776,0.8276961735583577
qtd_rec_sos_u12m_woe,-0.2987130234693562,0.017519950962332793,-17.049877828515474,3.502646311095708e-65,-0.33305149636643633,-0.26437455057227605,0.7417722501202765
var_93_woe,-0.19451022005485008,0.02999548869065761,-6.484649143770483,8.893850747990817e-11,-0.2533002975872175,-0.13572014252248266,0.8232377646784199
vlr_medio_real_woe,0.23465505257658964,0.03601733591542337,6.51505855756826,7.26613067466984e-11,0.16406237136327886,0.30524773378990044,1.2644725169585567
mean_gap_medio_recarga_u1m_woe,-0.522596647585468,0.036900165173836715,-14.162447379937587,1.5644917706393392e-45,-0.5949196423497671,-0.4502736528211688,0.5929787901918878
sum_vlr_total_real_u12m_woe,-0.2855970950332103,0.02055487187039199,-13.894374863245686,6.851912187023788e-44,-0.32588390360601405,-0.24531028646040653,0.751565364371541
sum_vlr_total_bonus_u6m_woe,-0.11560508663920993,0.024150927866400138,-4.786776196704432,1.694816462643083e-06,-0.16294003545057897,-0.06827013782784089,0.8908269533074742
std_pct_rec_com_bonus_u9m_woe,-0.4398945699310264,0.030572798210475444,-14.388430097324267,6.116866543590958e-47,-0.4998161533301689,-0.3799729865318839,0.6441043254669567
mean_pct_rec_sos_u12m_woe,-0.24870344010202455,0.01607819378872037,-15.468369356046823,5.672583011949786e-54,-0.2802161208643721,-0.21719075933967702,0.7798111998266214
var_35_woe,0.10334776502059095,0.015691428134520107,6.586256147917645,4.510553954691068e-11,0.07259313101093301,0.1341023990302489,1.1088769706522383
